ANO;Código da Unidade da Federação;Nome da Unidade da Federação;Código do Município;Município;Esperança de vida ao nascer;Mortalidade infantil
2010;11;Rondônia;110001;ALTA FLORESTA D'OESTE;70.75;23.80
2010;11;Rondônia;110002;ARIQUEMES;73.36;19.20
2010;11;Rondônia;110003;CABIXI;70.39;24.80
2010;11;Rondônia;110004;CACOAL;74.27;14.30
2010;11;Rondônia;110005;CEREJEIRAS;72.94;18.10
2010;11;Rondônia;110006;COLORADO DO OESTE;73.81;16.10
2010;11;Rondônia;110007;CORUMBIARA;71.45;21.90
2010;11;Rondônia;110008;COSTA MARQUES;70.04;25.80
2010;11;Rondônia;110009;ESPIGÃO D'OESTE;74.15;15.40
2010;11;Rondônia;110010;GUAJARÁ-MIRIM;74.39;14.80
2010;11;Rondônia;110011;JARU;74.51;14.60
2010;11;Rondônia;110012;JI-PARANÁ;73.6;16.20
2010;11;Rondônia;110013;MACHADINHO D'OESTE;70.32;25.00
2010;11;Rondônia;110014;NOVA BRASILÂNDIA D'OESTE;70.75;23.80
2010;11;Rondônia;110015;OURO PRETO DO OESTE;73.72;16.30
2010;11;Rondônia;110018;PIMENTA BUENO;73.15;17.60
2010;11;Rondônia;110020;PORTO VELHO;74.14;15.52
2010;11;Rondônia;110025;PRESIDENTE MÉDICI;72.51;19.20
2010;11;Rondônia;110026;RIO CRESPO;73.77;16.20
2010;11;Rondônia;110028;ROLIM DE MOURA;73.46;16.90
2010;11;Rondônia;110029;SANTA LUZIA D'OESTE;73.73;16.30
2010;11;Rondônia;110030;VILHENA;73.49;16.98
2010;11;Rondônia;110032;SÃO MIGUEL DO GUAPORÉ;71.87;20.80
2010;11;Rondônia;110033;NOVA MAMORÉ;71.15;22.70
2010;11;Rondônia;110034;ALVORADA D'OESTE;70.75;23.80
2010;11;Rondônia;110037;ALTO ALEGRE DOS PARECIS;71.64;21.40
2010;11;Rondônia;110040;ALTO PARAÍSO;73.22;17.40
2010;11;Rondônia;110045;BURITIS;70.08;25.70
2010;11;Rondônia;110050;NOVO HORIZONTE DO OESTE;72.92;18.20
2010;11;Rondônia;110060;CACAULÂNDIA;73.08;17.80
2010;11;Rondônia;110070;CAMPO NOVO DE RONDÔNIA;71.34;22.20
2010;11;Rondônia;110080;CANDEIAS DO JAMARI;74.11;15.40
2010;11;Rondônia;110090;CASTANHEIRAS;73.15;17.60
2010;11;Rondônia;110092;CHUPINGUAIA;74.21;15.20
2010;11;Rondônia;110094;CUJUBIM;72.33;19.60
2010;11;Rondônia;110100;GOVERNADOR JORGE TEIXEIRA;70.71;23.90
